name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
AMC Ambassador Brougham,13.00 ,8.00 ,360.00 ,175.00 ,3821.00 ,11.00 ,73.00 
AMC Ambassador DPL,15.00 ,8.00 ,390.00 ,190.00 ,3850.00 ,8.50 ,70.00 
AMC Ambassador SST,17.00 ,8.00 ,304.00 ,150.00 ,3672.00 ,11.50 ,72.00 
AMC Concord DL 6,20.20 ,6.00 ,232.00 ,90.00 ,3265.00 ,18.20 ,79.00 
AMC Concord DL,18.10 ,6.00 ,258.00 ,120.00 ,3410.00 ,15.10 ,78.00 
AMC Concord,19.40 ,6.00 ,232.00 ,90.00 ,3210.00 ,17.20 ,78.00 
AMC Concord,24.30 ,4.00 ,151.00 ,90.00 ,3003.00 ,20.10 ,80.00 
AMC Gremlin,18.00 ,6.00 ,232.00 ,100.00 ,2789.00 ,15.00 ,73.00 
AMC Gremlin,19.00 ,6.00 ,232.00 ,100.00 ,2634.00 ,13.00 ,71.00 
AMC Gremlin,20.00 ,6.00 ,232.00 ,100.00 ,2914.00 ,16.00 ,75.00 
AMC Gremlin,21.00 ,6.00 ,199.00 ,90.00 ,2648.00 ,15.00 ,70.00 
AMC Hornet Sportabout (Wagon),18.00 ,6.00 ,258.00 ,110.00 ,2962.00 ,13.50 ,71.00 
AMC Hornet,18.00 ,6.00 ,199.00 ,97.00 ,2774.00 ,15.50 ,70.00 
AMC Hornet,18.00 ,6.00 ,232.00 ,100.00 ,2945.00 ,16.00 ,73.00 
AMC Hornet,19.00 ,6.00 ,232.00 ,100.00 ,2901.00 ,16.00 ,74.00 
AMC Hornet,22.50 ,6.00 ,232.00 ,90.00 ,3085.00 ,17.60 ,76.00 
AMC Matador (Wagon),14.00 ,8.00 ,304.00 ,150.00 ,4257.00 ,15.50 ,74.00 
AMC Matador (Wagon),15.00 ,8.00 ,304.00 ,150.00 ,3892.00 ,12.50 ,72.00 
AMC Matador,14.00 ,8.00 ,304.00 ,150.00 ,3672.00 ,11.50 ,73.00 
AMC Matador,15.00 ,6.00 ,258.00 ,110.00 ,3730.00 ,19.00 ,75.00 
